name,college,major,paper
刘俊涛,中国船舶重工集团第七零九研究所,计算机软件及计算机应用;电力工业;自动化技术;,应用知识图谱的推荐方法与系统
曹万华,中国船舶重工集团公司武汉数字工程研究所,计算机软件及计算机应用;自动化技术;电信技术;,应用知识图谱的推荐方法与系统
邹易呈,大连理工大学,公路与水路运输;自动化技术;,基于多源数据融合的交通知识图谱构建及应用
张秀红,武汉大学,自然地理学和测绘学;计算机软件及计算机应用;工业通用技术及设备;,基于知识图谱的遥感影像应用领域知识服务研究
钟小平,天津大学,计算机软件及计算机应用;电力工业;,基于品牌指数知识图谱的问答系统研究与实现
杨浩然,东南大学,计算机软件及计算机应用;电力工业;自动化技术;,基于知识图谱的社交媒体情感分析研究
张腾腾,,,基于知识图谱的医学文献摘要抽取方法的研究与实现
丁金如,东南大学,计算机软件及计算机应用;图书情报与数字图书馆;,知识图谱中实体群体画像方法的研究与实现
钱双双,浙江工业大学,计算机软件及计算机应用;金融;,金融领域的知识图谱构建与应用
甄玉敏,北京交通大学,计算机软件及计算机应用;,基于知识图谱的个性化新闻推荐系统的设计与实现
王琳,天津大学,自动化技术;图书情报与数字图书馆;,一种张量分解的知识图谱推理优化算法
张国坤,天津大学,自动化技术;图书情报与数字图书馆;,一种张量分解的知识图谱推理优化算法
徐逸浓,重庆市南开中学,自动化技术;图书情报与数字图书馆;,一种张量分解的知识图谱推理优化算法
姜宇星,南京理工大学,图书情报与数字图书馆;自动化技术;宏观经济管理与可持续发展;,基于大数据的市场监管知识图谱研究
王曰芬,南京理工大学,图书情报与数字图书馆;新闻与传媒;科学研究管理;,基于大数据的市场监管知识图谱研究
邹超群,西安理工大学,计算机软件及计算机应用;电力工业;教育理论与教育管理;,基于知识图谱的智慧学习平台的设计与实现
张少华,东南大学,医学教育与医学边缘学科;,基于知识图谱的医学影像报告分析方法研究和应用
李容,重庆邮电大学,电信技术;计算机软件及计算机应用;电力工业;,基于知识图谱的手机质量检测方法研究与实现
赵孛,成都理工大学,计算机软件及计算机应用;医药卫生方针政策与法律法规研究;,基于知识图谱的智能病历管理应用研究
闫艺婷,广东技术师范大学,计算机软件及计算机应用;电力工业;医药卫生方针政策与法律法规研究;,基于知识图谱的保险问答算法研究
成振华,重庆邮电大学,计算机软件及计算机应用;,基于知识图谱的电影推荐技术研究
刘芳,中国科学院遥感与数字地球研究所,档案及博物馆;考古;计算机软件及计算机应用;,以藏品为核心的知识图谱设计与应用
谢靖,中国科学院大学,图书情报与数字图书馆;计算机软件及计算机应用;电力工业;,以藏品为核心的知识图谱设计与应用
梁聪,桂林电子科技大学,计算机软件及计算机应用;计算机硬件技术;自动化技术;,面向智慧旅游的知识图谱构建研究
罗欢,北京林业大学,林业;,人工林培育知识图谱构建与作业法推荐技术研究
周思佳,中国人民公安大学,公安;军事;,公安行动指挥员个性化学习研究
孙华君,中国中医科学院,中医学;计算机软件及计算机应用;,知识图谱及其在中医药领域应用研究进展
李海燕,中国中医科学院中医药信息研究所,中医学;医学教育与医学边缘学科;中药学;,知识图谱及其在中医药领域应用研究进展
聂莹,中国中医科学院中医药信息研究所,中医学;工业通用技术及设备;图书情报与数字图书馆;,知识图谱及其在中医药领域应用研究进展
甄思圆,中国中医科学院中医药信息研究所,中医学;中药学;医学教育与医学边缘学科;,知识图谱及其在中医药领域应用研究进展
